id,vintage,wine,format,Region,Quantity,Reserve,Condition Issue,country,dessert_hit,bare_pt,shipper_hit,producer_id_drop,cond_decision,wine_type,classify_reason,country_code
10896160,2017,Bodegas Ramon Bilbao Rioja Lalomba Finca Valhonta,750ml,"Spain, Rioja",1,60,,Spain,False,False,False,False,keep,Red,red appellation default,ES
10895977,NV,Bollinger Special Cuvee,750ml,"France, Champagne",2,55,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10889632,NV,Bollinger Special Cuvee,750ml,"France, Champagne",1,55,Light label condition issue,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10895912,NV,Bollinger Special Cuvee,750ml,"France, Champagne",1,55,Light label condition issue,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10895482,2005,Bouchard Pere et Fils Meursault Perrières,750ml,"France, Burgundy, Côte d'Or",4,105,,France,False,False,False,False,keep,White,white appellation default,FR
10889416,2009,Bouchard Pere et Fils Nuits-St.-Georges Les Cailles,750ml,"France, Burgundy, Côte d'Or",1,85,Light label condition issue,France,False,False,False,False,keep,Red,pass2: Nuits-St-Georges is red-only,FR
10890345,2018,Bouchard Pere et Fils Savigny les Beaune Les Lavieres,750ml,"France, Burgundy, Côte d'Or",1,45,,France,False,False,False,False,keep,Red,pass2: bare Beaune premier cru (no Blanc stated) -- predominantly red,FR
10890350,2018,Buisson-Charles Volnay Santenots,750ml,"France, Burgundy, Côte d'Or",2,65,Light label condition issue,France,False,False,False,False,keep,Red,pass2: Volnay is red-only,FR
10895667,2010,Caiarossa Toscana,750ml,"Italy, Tuscany",1,35,,Italy,False,False,False,False,keep,Red,pass6 manual: Caiarossa Toscana IGT is a red Bordeaux/Rhone blend,IT
10895458,2011,Camille Giroud Pommard Clos de Vergers,750ml,"France, Burgundy, Côte d'Or",1,80,,France,False,False,False,False,keep,Red,pass2: Pommard is a red-only appellation,FR
10895671,2006,Canalicchio di Sopra Brunello di Montalcino,750ml,"Italy, Tuscany, Brunello di Montalcino",1,55,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10895829,2015,Canalicchio di Sopra Brunello di Montalcino,750ml,"Italy, Tuscany, Brunello di Montalcino",1,75,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10896243,2019,Canalicchio di Sopra Brunello di Montalcino,750ml,"Italy, Tuscany, Brunello di Montalcino",1,55,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10896383,2019,Cantina Terlan Terlaner Nova Domus Riserva,750ml,"Italy, Alto Adige",2,40,,Italy,False,False,False,False,keep,White,pass6 manual: Terlaner is the Alto Adige Pinot Bianco/Chardonnay/Sauvignon white blend,IT
10895840,2020,Casanova di Neri Brunello di Montalcino,750ml,"Italy, Tuscany, Brunello di Montalcino",1,55,Light label condition issue,Italy,False,False,False,False,keep,Red,red appellation default,IT
10896110,2020,Casanova di Neri Brunello di Montalcino,750ml,"Italy, Tuscany, Brunello di Montalcino",1,55,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10896244,2020,Casanova di Neri Brunello di Montalcino Tenuta Nuova,750ml,"Italy, Tuscany, Brunello di Montalcino",1,80,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10895875,2018,Castellare di Castellina I Sodi di San Niccolò,750ml,"Italy, Tuscany",1,50,Light label condition issue,Italy,False,False,False,False,keep,Red,pass6 manual: Sangiovese/Malvasia Nera Super Tuscan red,IT
10896146,2019,Castellare di Castellina I Sodi di San Niccolò,750ml,"Italy, Tuscany",4,60,Light label condition issue,Italy,False,False,False,False,keep,Red,pass6 manual: Sangiovese/Malvasia Nera Super Tuscan red,IT
10896120,2020,Castellare di Castellina I Sodi di San Niccolò,750ml,"Italy, Tuscany",3,70,Light label condition issue,Italy,False,False,False,False,keep,Red,pass6 manual: Sangiovese/Malvasia Nera Super Tuscan red,IT
10889647,2000,Castello Banfi Brunello di Montalcino,750ml,"Italy, Tuscany, Brunello di Montalcino",1,45,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10896156,2015,Castello Banfi Brunello di Montalcino Poggio Alle Mura Riserva,750ml,"Italy, Tuscany, Brunello di Montalcino",1,85,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10895457,1989,Castello di Neive Barbaresco Santo Stefano,750ml,"Italy, Piedmont, Barbaresco",1,95,"Light capsule condition issue
Very top shoulder fill
Light label condition issue",Italy,False,False,False,False,keep,Red,pass2: Barbaresco is a 100% red Nebbiolo DOCG,IT
10896081,2020,Castello di Volpaia Balifico,750ml,"Italy, Tuscany",1,60,,Italy,False,False,False,False,keep,Red,pass6 manual: Sangiovese/Cabernet Super Tuscan red,IT
10896177,2020,Castello di Volpaia Chianti Classico Riserva,750ml,"Italy, Tuscany, Chianti Classico",1,25,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10887953,2013,Castiglion del Bosco Brunello di Montalcino Campo del Drago,750ml,"Italy, Tuscany, Brunello di Montalcino",1,80,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10896300,2005,Charles Heidsieck Brut Rosé,750ml,"France, Champagne",1,90,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10895433,2018,Charles Joguet Chinon Rosé,1.5ltr,"France, Loire Valley, Touraine",5,40,,France,False,False,False,False,keep,Rose,rose colour word,FR
10895909,2015,Charles Mignon Brut Cuvee Comte de Marne,750ml,"France, Champagne",2,55,Light label condition issue,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10896123,2021,Château Beausejour (Duffau Lagarrosse),750ml,"France, Bordeaux, St.-Émilion",2,70,,France,False,False,False,False,keep,Red,red appellation default,FR
10895485,1988,Château Beychevelle,750ml,"France, Bordeaux, St.-Julien",1,90,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10895867,2022,Château Beychevelle,750ml,"France, Bordeaux, St.-Julien",2,95,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896431,2010,Château Branaire-Ducru,750ml,"France, Bordeaux, St.-Julien",2,95,,France,False,False,False,False,keep,Red,red appellation default,FR
10896432,2015,Château Branaire-Ducru,750ml,"France, Bordeaux, St.-Julien",1,60,,France,False,False,False,False,keep,Red,red appellation default,FR
10896352,2005,Château Brane-Cantenac,750ml,"France, Bordeaux, Margaux",11,130,,France,False,False,False,False,keep,Red,red appellation default,FR
10896311,2019,Château Brane-Cantenac,750ml,"France, Bordeaux, Margaux",12,75,,France,False,False,False,False,keep,Red,red appellation default,FR
10895455,1979,Château Calon-Segur,750ml,"France, Bordeaux, St.-Estephe",1,85,"Light capsule condition issue
Light label condition issue",France,False,False,False,False,keep,Red,red appellation default,FR
10896392,1996,Château Calon-Segur,750ml,"France, Bordeaux, St.-Estephe",11,150,,France,False,False,False,False,keep,Red,red appellation default,FR
10895263,2000,Château Calon-Segur,750ml,"France, Bordeaux, St.-Estephe",4,135,"Light capsule condition issue
Light label condition issue",France,False,False,False,False,keep,Red,red appellation default,FR
10896391,2009,Château Calon-Segur,750ml,"France, Bordeaux, St.-Estephe",2,130,,France,False,False,False,False,keep,Red,red appellation default,FR
10896390,2014,Château Calon-Segur,750ml,"France, Bordeaux, St.-Estephe",8,105,,France,False,False,False,False,keep,Red,red appellation default,FR
10896470,2016,Château Calon-Segur,750ml,"France, Bordeaux, St.-Estephe",2,145,,France,False,False,False,False,keep,Red,red appellation default,FR
10896314,2018,Château Calon-Segur,750ml,"France, Bordeaux, St.-Estephe",17,125,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896313,2018,Château Calon-Segur,750ml,"France, Bordeaux, St.-Estephe",6,125,,France,False,False,False,False,keep,Red,red appellation default,FR
10896309,2019,Château Calon-Segur,750ml,"France, Bordeaux, St.-Estephe",6,115,,France,False,False,False,False,keep,Red,red appellation default,FR
10896446,2014,Château Canon,750ml,"France, Bordeaux, St.-Émilion",11,80,,France,False,False,False,False,keep,Red,red appellation default,FR
10896308,2020,Château Canon,750ml,"France, Bordeaux, St.-Émilion",12,145,,France,False,False,False,False,keep,Red,red appellation default,FR
10896265,2021,Château Canon,750ml,"France, Bordeaux, St.-Émilion",1,120,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896217,2022,Château Canon-La-Gaffeliere,750ml,"France, Bordeaux, St.-Émilion",1,75,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896216,2023,Château Canon-La-Gaffeliere,750ml,"France, Bordeaux, St.-Émilion",1,65,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896249,2010,Château Cantenac-Brown,750ml,"France, Bordeaux, Margaux",1,80,,France,False,False,False,False,keep,Red,red appellation default,FR
10896351,2020,Château Cantenac-Brown,750ml,"France, Bordeaux, Margaux",5,55,,France,False,False,False,False,keep,Red,red appellation default,FR
10895264,1998,Château Clerc-Milon,750ml,"France, Bordeaux, Pauillac",6,70,"Light capsule condition issue
Light label condition issue",France,False,False,False,False,keep,Red,red appellation default,FR
10895266,2000,Château d'Armailhac,750ml,"France, Bordeaux, Pauillac",3,75,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896319,2012,Château d'Armailhac,750ml,"France, Bordeaux, Pauillac",6,55,,France,False,False,False,False,keep,Red,red appellation default,FR
10896462,2016,Château d'Armailhac,750ml,"France, Bordeaux, Pauillac",4,60,,France,False,False,False,False,keep,Red,red appellation default,FR
10896442,2019,Château d'Armailhac,750ml,"France, Bordeaux, Pauillac",11,60,,France,False,False,False,False,keep,Red,red appellation default,FR
10896315,2009,Chateau de Beaucastel Châteauneuf-du-Pape,750ml,"France, Rhône Valley, Southern Rhône",12,90,,France,False,False,False,False,keep,Red,red appellation default,FR
10896213,2023,Chateau de Beaucastel Châteauneuf-du-Pape,750ml,"France, Rhône Valley, Southern Rhône",1,85,,France,False,False,False,False,keep,Red,red appellation default,FR
10896472,2018,Château de Lyde Cadillac Cotes de Bordeaux,750ml,"France, Bordeaux, Entre-Deux-Mers",1,15,,France,False,False,False,False,keep,Red,red appellation default,FR
10895397,2016,Château de Pressac,750ml,"France, Bordeaux, St.-Émilion",1,40,,France,False,False,False,False,keep,Red,red appellation default,FR
10895882,2022,Chateau D'Esclans Rose Garrus,750ml,"France, Provence, Cotes de Provence",1,65,,France,False,False,False,False,keep,Rose,rose colour word,FR
10895883,2022,Chateau D'Esclans Rose Garrus,750ml,"France, Provence, Cotes de Provence",1,65,Light label condition issue,France,False,False,False,False,keep,Rose,rose colour word,FR
10895267,2000,Château d'Issan,750ml,"France, Bordeaux, Margaux",2,95,,France,False,False,False,False,keep,Red,red appellation default,FR
10896444,2006,Château d'Issan,750ml,"France, Bordeaux, Margaux",4,75,,France,False,False,False,False,keep,Red,red appellation default,FR
10896443,2020,Château d'Issan,750ml,"France, Bordeaux, Margaux",3,65,,France,False,False,False,False,keep,Red,red appellation default,FR
10896330,2018,"Chateau du Nozet Pouilly Fume Baron de ""L""",750ml,"France, Loire Valley, Centre-Loire",2,60,,France,False,False,False,False,keep,White,pass6 correction: Pouilly-Fume is Sauvignon blanc (keyword pass misread it as red),FR
10896329,2019,"Chateau du Nozet Pouilly Fume Baron de ""L""",750ml,"France, Loire Valley, Centre-Loire",8,70,,France,False,False,False,False,keep,White,pass6 correction: Pouilly-Fume is Sauvignon blanc (keyword pass misread it as red),FR
10889610,2003,Château Duhart-Milon-Rothschild,750ml,"France, Bordeaux, Pauillac",8,75,,France,False,False,False,False,keep,Red,red appellation default,FR
10889627,2007,Château Duhart-Milon-Rothschild,750ml,"France, Bordeaux, Pauillac",12,60,,France,False,False,False,False,keep,Red,red appellation default,FR
10889555,2009,Château Duhart-Milon-Rothschild,750ml,"France, Bordeaux, Pauillac",12,135,,France,False,False,False,False,keep,Red,red appellation default,FR
10896048,2023,Château Duhart-Milon-Rothschild Blanc,750ml,"France, Bordeaux",1,60,,France,False,False,False,False,keep,White,white colour word,FR
10896112,2023,Château Duhart-Milon-Rothschild Blanc,750ml,"France, Bordeaux",1,60,,France,False,False,False,False,keep,White,white colour word,FR
10896459,2015,Château Gazin,750ml,"France, Bordeaux, Pomerol",1,80,,France,False,False,False,False,keep,Red,red appellation default,FR
10895268,2000,Château Giscours,750ml,"France, Bordeaux, Margaux",3,105,"Light capsule condition issue
Light label condition issue",France,False,False,False,False,keep,Red,red appellation default,FR
10895269,2000,Château Giscours,750ml,"France, Bordeaux, Margaux",1,105,Light capsule condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896148,2022,Château Gruaud-Larose,750ml,"France, Bordeaux, St.-Julien",1,75,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896147,2023,Château Gruaud-Larose,750ml,"France, Bordeaux, St.-Julien",1,90,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896310,2019,Château Guillot Clauzel,750ml,"France, Bordeaux, Pomerol",6,55,,France,False,False,False,False,keep,Red,red appellation default,FR
10895390,2020,Château Haut De La Becade,750ml,"France, Bordeaux, Pauillac",1,30,,France,False,False,False,False,keep,Red,red appellation default,FR
10896347,2019,Château Haut-Bailly,750ml,"France, Bordeaux, Graves",4,100,,France,False,False,False,False,keep,Red,red appellation default,FR
10896346,2019,Château Haut-Bailly,750ml,"France, Bordeaux, Graves",2,100,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10895935,2021,Château Haut-Bailly,750ml,"France, Bordeaux, Graves",1,75,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10895632,1986,Château La Dominique,750ml,"France, Bordeaux, St.-Émilion",3,80,"Light capsule condition issue
Very top shoulder fill",France,False,False,False,False,keep,Red,red appellation default,FR
10895634,1986,Château La Dominique,750ml,"France, Bordeaux, St.-Émilion",2,80,"Light capsule condition issue
Base neck fill
Light label condition issue",France,False,False,False,False,keep,Red,red appellation default,FR
10895630,1986,Château La Dominique,750ml,"France, Bordeaux, St.-Émilion",1,80,Light capsule condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10895633,1986,Château La Dominique,750ml,"France, Bordeaux, St.-Émilion",1,80,"Light capsule condition issue
Base neck fill",France,False,False,False,False,keep,Red,red appellation default,FR
10895852,2020,Chateau la Nerthe Châteauneuf-du-Pape,750ml,"France, Rhône Valley, Southern Rhône",1,45,,France,False,False,False,False,keep,Red,red appellation default,FR
10895938,2020,Chateau la Nerthe Châteauneuf-du-Pape,750ml,"France, Rhône Valley, Southern Rhône",1,45,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896393,2010,Château Lafon-Rochet,750ml,"France, Bordeaux, St.-Estephe",8,55,,France,False,False,False,False,keep,Red,red appellation default,FR
10896341,2018,Château Lafon-Rochet,750ml,"France, Bordeaux, St.-Estephe",12,50,,France,False,False,False,False,keep,Red,red appellation default,FR
10896471,2005,Château LaGrange,750ml,"France, Bordeaux, St.-Julien",24,70,,France,False,False,False,False,keep,Red,red appellation default,FR
10889561,2000,Château Larrivet-Haut-Brion,750ml,"France, Bordeaux, Graves",1,50,,France,False,False,False,False,keep,Red,red appellation default,FR
10895703,2019,Château Lassègue,750ml,"France, Bordeaux, St.-Émilion",1,45,,France,False,False,False,False,keep,Red,red appellation default,FR
10896430,2019,Château Le Gay,750ml,"France, Bordeaux, Pomerol",3,80,,France,False,False,False,False,keep,Red,red appellation default,FR
10889609,2001,Château Leoville-Barton,750ml,"France, Bordeaux, St.-Julien",3,100,,France,False,False,False,False,keep,Red,red appellation default,FR
10896353,2005,Château Leoville-Barton,750ml,"France, Bordeaux, St.-Julien",6,130,,France,False,False,False,False,keep,Red,red appellation default,FR
10895454,1979,Château Leoville-Las-Cases,750ml,"France, Bordeaux, St.-Julien",1,125,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10895641,1994,Château Leoville-Las-Cases,750ml,"France, Bordeaux, St.-Julien",7,145,Light capsule condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896474,2019,Château Leoville-Las-Cases,750ml,"France, Bordeaux, St.-Julien",10,150,,France,False,False,False,False,keep,Red,red appellation default,FR
10896475,2019,Château Leoville-Las-Cases,750ml,"France, Bordeaux, St.-Julien",2,150,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896143,2014,Château Leoville-Poyferre,750ml,"France, Bordeaux, St.-Julien",1,80,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896144,2015,Château Leoville-Poyferre,750ml,"France, Bordeaux, St.-Julien",2,100,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10895754,2023,Château Leoville-Poyferre,750ml,"France, Bordeaux, St.-Julien",1,85,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10895426,2000,Château Les Carmes Haut Brion,750ml,"France, Bordeaux, Graves",1,120,,France,False,False,False,False,keep,Red,red appellation default,FR
10896320,2019,Château Les Carmes Haut Brion,750ml,"France, Bordeaux, Graves",12,110,,France,False,False,False,False,keep,Red,red appellation default,FR
10896344,2009,Château Les Ormes-de-Pez,750ml,"France, Bordeaux, St.-Estephe",3,45,,France,False,False,False,False,keep,Red,red appellation default,FR
10896345,2009,Château Les Ormes-de-Pez,750ml,"France, Bordeaux, St.-Estephe",1,45,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896342,2011,Château Lilian Ladouys,750ml,"France, Bordeaux, St.-Estephe",6,30,,France,False,False,False,False,keep,Red,red appellation default,FR
10896460,2020,Château Lilian Ladouys,750ml,"France, Bordeaux, St.-Estephe",11,20,,France,False,False,False,False,keep,Red,red appellation default,FR
10895239,2005,Château Loudenne,750ml,"France, Bordeaux, Haut-Médoc",1,20,"Light capsule condition issue
Base neck fill
Light label condition issue",France,False,False,False,False,keep,Red,red appellation default,FR
10889595,2001,Château Lynch-Bages,750ml,"France, Bordeaux, Pauillac",2,115,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10889583,2002,Château Lynch-Bages,750ml,"France, Bordeaux, Pauillac",8,120,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896433,2020,Château Malartic-Lagraviere,750ml,"France, Bordeaux, Graves",3,40,,France,False,False,False,False,keep,Red,red appellation default,FR
10896445,2010,Château Malescot-St Exupery,750ml,"France, Bordeaux, Margaux",6,85,,France,False,False,False,False,keep,Red,red appellation default,FR
10896318,2015,Château Malescot-St Exupery,750ml,"France, Bordeaux, Margaux",12,65,,France,False,False,False,False,keep,Red,red appellation default,FR
10895557,1982,Château Meyney,750ml,"France, Bordeaux, St.-Estephe",4,100,"Very top shoulder fill
Light label condition issue",France,False,False,False,False,keep,Red,red appellation default,FR
10896402,2006,Château Meyney,1.5ltr,"France, Bordeaux, St.-Estephe",1,90,,France,False,False,False,False,keep,Red,red appellation default,FR
10896420,2006,Château Meyney,1.5ltr,"France, Bordeaux, St.-Estephe",1,90,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896466,2014,Château Meyney,750ml,"France, Bordeaux, St.-Estephe",3,45,,France,False,False,False,False,keep,Red,red appellation default,FR
10896425,2006,Château Montrose,750ml,"France, Bordeaux, St.-Estephe",5,125,,France,False,False,False,False,keep,Red,red appellation default,FR
10896426,2008,Château Montrose,750ml,"France, Bordeaux, St.-Estephe",5,110,,France,False,False,False,False,keep,Red,red appellation default,FR
10896414,2012,Château Montrose,750ml,"France, Bordeaux, St.-Estephe",5,140,,France,False,False,False,False,keep,Red,red appellation default,FR
10896381,2014,Château Montrose,750ml,"France, Bordeaux, St.-Estephe",12,130,,France,False,False,False,False,keep,Red,red appellation default,FR
10896316,2017,Château Montrose,750ml,"France, Bordeaux, St.-Estephe",9,105,,France,False,False,False,False,keep,Red,red appellation default,FR
10896461,2017,Château Montrose,750ml,"France, Bordeaux, St.-Estephe",2,105,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
10896435,2019,Château Montrose,750ml,"France, Bordeaux, St.-Estephe",3,150,,France,False,False,False,False,keep,Red,red appellation default,FR
10889611,2015,Château Pape-Clement,750ml,"France, Bordeaux, Graves",4,130,,France,False,False,False,False,keep,Red,red appellation default,FR
10896437,2020,Château Pape-Clement,750ml,"France, Bordeaux, Graves",6,80,,France,False,False,False,False,keep,Red,red appellation default,FR
10895932,2022,Château Pape-Clement,750ml,"France, Bordeaux, Graves",2,70,,France,False,False,False,False,keep,Red,red appellation default,FR
10895751,2023,Château Pape-Clement,750ml,"France, Bordeaux, Graves",3,70,,France,False,False,False,False,keep,Red,red appellation default,FR
10889616,2005,Château Pavie-Macquin,750ml,"France, Bordeaux, St.-Émilion",1,135,,France,False,False,False,False,keep,Red,red appellation default,FR
10896340,2010,Château Pavie-Macquin,750ml,"France, Bordeaux, St.-Émilion",5,130,,France,False,False,False,False,keep,Red,red appellation default,FR
10889562,2011,Château Pavie-Macquin,750ml,"France, Bordeaux, St.-Émilion",11,70,,France,False,False,False,False,keep,Red,red appellation default,FR
10896339,2019,Château Pavie-Macquin,750ml,"France, Bordeaux, St.-Émilion",2,70,,France,False,False,False,False,keep,Red,red appellation default,FR
10889415,2005,Château Peyrabon,750ml,"France, Bordeaux, Haut-Médoc",1,25,Light label condition issue,France,False,False,False,False,keep,Red,red appellation default,FR
