key,wine_raw,vintage,format_ml,price,source,source_type,note
ar pe pe rosso di valtellina|2018|750,AR.PE.PE. Rosso di Valtellina,2018,750,42,"Wine-Searcher average retail, adjacent vintage (2019) used as proxy",ws_adjacent,No price found in the 2018-specific search. Used the $42/750ml price found for the 2019 vintage of the same wine (via a companion search in this batch) as an adjacent-vintage proxy.
ar pe pe rosso di valtellina|2019|750,AR.PE.PE. Rosso di Valtellina,2019,750,42,"Wine-Searcher average retail, vintage-specific",ws_vintage,
ar pe pe valtellina superiore il pettirosso|2016|750,AR.PE.PE. Valtellina Superiore Il Pettirosso,2016,750,55,Estimate - no price found in search,estimate,"Search returned only a 91/100 critic score, no dollar figure. Estimated based on comparable AR.PE.PE single-vineyard Valtellina Superiore pricing relative to their Rosso di Valtellina (~$42)."
ar pe pe valtellina superiore inferno fiamme antiche|2017|750,AR.PE.PE. Valtellina Superiore Inferno Fiamme Antiche,2017,750,,Insufficient data,insufficient,"WebSearch call failed (too_many_requests error) and returned no usable content. Per one-search-per-wine budget rule, not retried."
arianna occhipinti cerasuolo di vittoria grotte alte classico|2014|750,Arianna Occhipinti Cerasuolo di Vittoria Grotte Alte Classico,2014,750,50,"Wine-Searcher average retail, adjacent vintage (2015) used as proxy",ws_adjacent,No price found in the 2014-specific search. Used the $50/750ml price found for the 2015 vintage of the same wine (via a companion search in this batch) as an adjacent-vintage proxy.
arianna occhipinti cerasuolo di vittoria grotte alte classico|2015|750,Arianna Occhipinti Cerasuolo di Vittoria Grotte Alte Classico,2015,750,50,"Wine-Searcher average retail, vintage-specific",ws_vintage,
arianna occhipinti il frappato|2022|1500,Arianna Occhipinti Il Frappato,2022,1500,114.4,"Wine-Searcher average retail, vintage-specific (750ml, scaled to magnum)",ws_vintage,Scaled from 750ml Wine-Searcher average price of $52 (2022 vintage) x2.2 magnum premium factor = $114.40.
avignonesi rosso di montepulciano|2009|750,Avignonesi Rosso di Montepulciano,2009,750,16.5,"Wine-Searcher average retail, all-vintage average (converted from EUR)",ws_allvintage,"Wine-Searcher price of €15/750ml is an all-vintage average, not 2009-specific. Converted to USD at approx. 1.10 USD/EUR = $16.50."
azelia barolo cerretta|2016|750,Azelia Barolo Cerretta,2016,750,141,"Wine-Searcher average retail, vintage-specific",ws_vintage,
b levet cote rotie|2021|1500,B. Levet Côte-Rôtie,2021,1500,246.4,"Wine-Searcher average retail, adjacent cuvee (parcel not specified on lot)",ws_adjacent,"Lot doesn't specify which Levet Cote-Rotie cuvee; Wine-Searcher showed 2021 parcel bottlings at $99-125 (Les Journaries $112, La Chavaroche $125, La Peroline $99). Used $112 (Les Journaries) as 750ml base, scaled to 1500ml magnum by x2.2 = $246.40."
bitouzet prieur meursault perrieres|2021|750,Bitouzet-Prieur Meursault Perrières,2021,750,,Insufficient data,insufficient,Wine-Searcher and retailer links found but no price figure appeared in the search snippet text itself.
bodegas el nido clio|2019|750,Bodegas El Nido Clio,2019,750,58,"Wine-Searcher average retail, vintage-specific",ws_vintage,
bodegas emilio moro bierzo el zarzal blanco|2019|750,Bodegas Emilio Moro Bierzo El Zarzal Blanco,2019,750,,Insufficient data,insufficient,"Multiple retailer/critic links found (Wine.com, Decanter, Jancis Robinson) but no usable USD price appeared in the search snippet text."
bodegas pinea korde|2021|750,Bodegas Pinea Korde,2021,750,75,"Wine-Searcher average retail, vintage-specific",ws_vintage,Lot doesn't specify Korde Rose vs Blanco; assumed Blanco ($75) based on Wine Enthusiast reference to 'Korde Blanc'. Rose variant priced separately at $61 if that was intended instead.
bodegas pinea ribera del duero 17|2019|750,Bodegas Pinea Ribera del Duero 17,2019,750,65,"Wine-Searcher average retail, vintage not confirmed specific to 2019",ws_allvintage,Wine-Searcher listing for Pinea '17' did not clearly confirm a 2019-specific price; $65 appears to be a general average (UK market showed $63).
bois de boursan chateauneuf du pape cuvee des felix selection jean paul versino|2015|1500,Bois de Boursan Chateauneuf du Pape Cuvee des Felix Selection Jean-Paul Versino,2015,1500,143.0,"Wine-Searcher average retail, vintage-specific",ws_vintage,"Base 750ml price $65 (Wine-Searcher, vintage-specific 2015), scaled to 1500ml magnum by x2.2 = $143.00."
bollinger b13|NV|750,Bollinger B13,NV,750,177,"Wine-Searcher average retail, vintage-specific (2013 base)",ws_vintage,"B13 denotes Bollinger's 2013 base-vintage special release, listed as NV in the export; used the 2013-specific Wine-Searcher price."
brendan stater west saumur rouge|2020|750,Brendan Stater-West Saumur Rouge,2020,750,53,"Wine-Searcher average retail, vintage-specific",ws_vintage,
brendan stater west saumur rouge|2022|750,Brendan Stater-West Saumur Rouge,2022,750,63,"Wine-Searcher average retail, vintage-specific",ws_vintage,All-vintage average for this wine is $53; 2022 vintage runs slightly above at $63.
brotte vacqueyras bouvencourt|2018|750,Brotte Vacqueyras Bouvencourt,2018,750,23.51,"Single reputable retailer listing (Vino Alert, USD)",ws_single_retailer,"No Wine-Searcher average price surfaced in the snippet; a French retailer also showed ~EUR16.50 (~$20 equivalent), roughly consistent."
bruno clair marsannay les longeroies|2022|750,Bruno Clair Marsannay Les Longeroies,2022,750,112,"Wine-Searcher average retail, vintage-specific",ws_vintage,
burlotto barolo acclivi|2013|750,Burlotto Barolo Acclivi,2013,750,245,"Wine-Searcher average retail, vintage-specific",ws_vintage,
burlotto barolo|2014|750,Burlotto Barolo,2014,750,85,Reasoned estimate from producer/appellation pricing pattern,estimate,"Search returned pricing only for Burlotto's single-vineyard bottlings (Monvigliero, Acclivi), not the base Barolo DOCG for 2014. Estimated from the base-bottling 2022 vintage price ($104 per Wine-Searcher) adjusted slightly down for the older 2014 vintage."
burlotto barolo|2022|750,Burlotto Barolo,2022,750,104,"Wine-Searcher average retail, vintage-specific",ws_vintage,
ca la bionda amarone della valpolicella classico vigneti di ravazzol|2016|750,Ca' La Bionda Amarone della Valpolicella Classico Vigneti di Ravazzol,2016,750,76,"Wine-Searcher average retail, vintage-specific",ws_vintage,
castello banfi brunello di montalcino poggio all oro riserva|2012|750,Castello Banfi Brunello di Montalcino Poggio all'Oro Riserva,2012,750,140,"Wine-Searcher average retail, vintage-specific",ws_vintage,Search also surfaced non-vintage-specific averages of $174 and $203 for this label; used the figure explicitly tied to the 2012 vintage.
castello banfi brunello di montalcino|2015|1500,Castello Banfi Brunello di Montalcino,2015,1500,173.8,"Wine-Searcher average retail, vintage-specific",ws_vintage,"Base 750ml price $79 (Wine-Searcher, vintage-specific 2015), scaled to 1500ml magnum by x2.2 = $173.80."
castello banfi summus|2014|750,Castello Banfi Summus,2014,750,87,"Wine-Searcher average retail, vintage-specific",ws_vintage,
castello banfi summus|2016|750,Castello Banfi Summus,2016,750,89,"Wine-Searcher average retail, vintage-specific",ws_vintage,
cecchi val delle rose maremma toscana aurelio|2016|750,Cecchi Val delle Rose Maremma Toscana Aurelio,2016,750,39,"Wine-Searcher average retail, adjacent-vintage (2017) used as substitute",ws_adjacent,"2016-specific search hit a rate-limit error and was not retried per budget rule; used the 2017 vintage Wine-Searcher average price ($39/750ml) from the same wine as an adjacent-vintage substitute, since this producer's pricing is stable year to year."
cecchi val delle rose maremma toscana aurelio|2017|750,Cecchi Val delle Rose Maremma Toscana Aurelio,2017,750,39,"Wine-Searcher average retail, vintage-specific",ws_vintage,
ceretto barbaresco bricco asili bernardot|2004|750,Ceretto Barbaresco Bricco Asili Bernardot,2004,750,95,"Estimate: Ceretto single-vineyard Barbaresco Bernardot typically retails $70-90 at current release; a mature, well-rated (90pt) 2004 commands a modest age/rarity premium on the secondary market",estimate,"Wine-Searcher search returned only a critic score (90/100) for the 2004, no usable price figure; estimate based on producer/appellation knowledge."
ceretto barolo bricco rocche|1998|750,Ceretto Barolo Bricco Rocche,1998,750,250,"Estimate: Ceretto Bricco Rocche (flagship single-hectare cru) retails $300-450 at current release; the 1998 (excellent vintage, 92-93pt) is a sought after but mature collector bottle, typically trading somewhat below current-release price",estimate,"Search returned only ratings/tasting notes and a CellarTracker/Wine.com listing, no usable Wine-Searcher price for the 1998; estimate based on producer/cru reputation."
chandon de briailles pernand vergelesses ile des vergelesses|2015|750,Chandon de Briailles Pernand-Vergelesses Ile des Vergelesses,2015,750,124,"Wine-Searcher average retail, all-vintage average",ws_allvintage,"The Wine-Searcher listing surfaced did not encode a specific vintage in its URL (general 'Best local price' page), so treated as an all-vintage average rather than 2015-specific."
charles heidsieck brut reserve|NV|750,Charles Heidsieck Brut Réserve,NV,750,67,Wine-Searcher average retail,ws_vintage,"Non-vintage wine; price is a direct match to Charles Heidsieck Brut Reserve, no vintage substitution involved."
charles van canneyt bourgogne rouge|2013|750,Charles Van Canneyt Bourgogne Rouge,2013,750,39,"Wine-Searcher average retail, vintage-specific",ws_vintage,"Listed on Wine-Searcher as 'Bourgogne Pinot Noir', the varietal-labeled equivalent of Bourgogne Rouge from this producer."
chateau bellevue|2021|750,Château Bellevue,2021,750,70,"Wine-Searcher average retail, all-vintage average",ws_allvintage,"Wine-Searcher price found ($70/750ml) was for Château Bellevue, Saint-Emilion Grand Cru generally, not vintage-specific to 2021."
chateau branaire ducru|1982|750,Château Branaire-Ducru,1982,750,263,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau branaire ducru|2021|1500,Château Branaire-Ducru,2021,1500,118.8,"Wine-Searcher average retail, vintage-specific (scaled from 750ml)",ws_vintage,Wine-Searcher 750ml average price was $54; scaled to magnum (1500ml) at 750ml price x 2.2 = $118.80 per magnum premium convention.
chateau calon segur|2019|750,Château Calon-Segur,2019,750,185,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau canon|1983|750,Château Canon,1983,750,329,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau cantemerle|2017|750,Château Cantemerle,2017,750,38,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau cantenac brown|2022|750,Château Cantenac-Brown,2022,750,75,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau carignan cuvee prima|2005|6000,Château Carignan Cuvee Prima,2005,6000,103.04,"Wine-Searcher listing, single retailer (Atlas Fine Wines, London), scaled from 750ml",ws_single_retailer,Only price found was a single-retailer case price equating to $12.88/750ml; scaled linearly by volume to imperial (6000ml = 8x750ml): $12.88 x 8 = $103.04. No vintage-specific Wine-Searcher average was available.
chateau climens asphodele|2019|750,Château Climens Asphodele,2019,750,42.99,"Wine-Searcher listing, single retailer (Plucky Wines, NJ)",ws_single_retailer,No Wine-Searcher average price surfaced; used the single-retailer listed price instead.
chateau d armailhac|1997|750,Château d'Armailhac,1997,750,78,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau dassault|2015|750,Château Dassault,2015,750,57,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau dassault|2016|750,Château Dassault,2016,750,65,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau de beaucastel chateauneuf du pape|2004|750,Chateau de Beaucastel Châteauneuf-du-Pape,2004,750,98,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau de beaucastel chateauneuf du pape|2006|750,Chateau de Beaucastel Châteauneuf-du-Pape,2006,750,146.5,"Wine-Searcher average retail, adjacent vintages averaged (no 2006-specific listing found)",ws_adjacent,No 2006-specific price found in snippet; averaged adjacent vintages 2005 ($149) and 2007 ($144).
chateau de beaucastel chateauneuf du pape|2015|750,Chateau de Beaucastel Châteauneuf-du-Pape,2015,750,114,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau de beaucastel chateauneuf du pape|2016|750,Chateau de Beaucastel Châteauneuf-du-Pape,2016,750,108,"Wine-Searcher average retail, likely all-vintage average page (2016-specific tag not clearly shown in snippet)",ws_allvintage,Search returned $108 average price for the producer/wine listing without explicit vintage tagging; used as best available figure.
chateau de la tour clos vougeot|2014|750,Chateau de La Tour Clos Vougeot,2014,750,345,"Wine-Searcher average retail (ex-tax), vintage-specific (Vieilles Vignes Grand Cru bottling)",ws_vintage,Snippet matched the 'Vieilles Vignes' old-vines cuvee of Chateau de La Tour Clos de Vougeot rather than a plain-labeled bottling; may run higher than the estate's standard Clos Vougeot bottling.
chateau de malle|1971|750,Château De Malle,1971,750,150,Estimate based on general knowledge of comparable 2nd Cru Classe Sauternes from a strong vintage at this age,estimate,"No Wine-Searcher or retailer price found for the 1971 vintage in the single search performed. 1971 was a good Sauternes vintage; estimate based on typical auction range ($100-200) for aged 2eme cru Sauternes of comparable pedigree (e.g., Suduiraut, d'Arche) at 50+ years."
chateau des tours cotes du rhone reserve|2014|750,Chateau des Tours Côtes du Rhône Reserve,2014,750,250,"Wine-Searcher average retail, vintage-specific (91/100 rating tied to average price)",ws_vintage,
chateau du moulin noir|1996|750,Château du Moulin Noir,1996,750,,Insufficient data,insufficient,Search returned only a critic score (87/100) for the 1996 vintage of this small Montagne-Saint-Emilion producer; no price found in the single search allotted.
chateau faugeres|2000|750,Château Faugeres,2000,750,65,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,A second figure ($75 avg retail tied to an 89/100 rating) also appeared in the snippet; used the $65 ex-tax Wine-Searcher figure as primary.
chateau ferriere|2015|750,Château Ferriere,2015,750,60,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau fleur cardinale|2014|750,Château Fleur Cardinale,2014,750,65,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau gloria|1996|750,Château Gloria,1996,750,88,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,Two figures appeared in the snippet ($83 and $93 ex-tax); used their average ($88).
chateau gloria|2022|750,Château Gloria,2022,750,50,"Wine-Searcher-referenced pricing, vintage-specific (approximate)",ws_vintage,Snippet stated the 2022 vintage is 'accessible below $55 a bottle' per Wine-Searcher rather than giving an exact average; used $50 as a representative point estimate just under that ceiling.
chateau grand mayne|1989|750,Château Grand-Mayne,1989,750,130,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau grand mayne|2015|750,Château Grand-Mayne,2015,750,71,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau grand puy lacoste|2016|750,Château Grand-Puy-Lacoste,2016,750,109,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau l arrosee|1966|750,Château L'Arrosee,1966,750,218,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau la gaffeliere|2010|750,Château La Gaffeliere,2010,750,,Insufficient data,insufficient,Search confirmed 2010 as a top vintage for this Premier Grand Cru Classe B estate but returned no usable price figure in the single search allotted.
chateau la gaffeliere|2014|750,Château La Gaffeliere,2014,750,65,Estimate based on producer reputation and vintage quality; Wine-Searcher snippet price appeared to be for a different (second-label) bottling,estimate,"Search returned $19/750ml, but the accompanying description referred to a second wine ('Clos La Gaffeliere'), not the Grand Vin named in the lot. Discarded that mismatched figure and estimated ~$65 based on typical Grand Vin pricing for this Premier Grand Cru Classe B in a solid vintage."
chateau la lagune|1988|750,Château La Lagune,1988,750,92,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau lagrange|2016|750,Château LaGrange,2016,750,93,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau lalande|2022|750,Château Lalande,2022,750,39,"Wine-Searcher average retail, vintage-specific (Château Lalande, St-Julien)",ws_vintage,"Confirmed as the St-Julien Château Lalande, not Pichon Longueville Comtesse de Lalande."
chateau larroque|1990|750,Château Larroque,1990,750,,Insufficient data,insufficient,"Name is ambiguous between Ducourt's Bordeaux Supérieur 'Château Larroque' and the St-Emilion Grand Cru 'Château Laroque'; no 1990 price found for either under a single search, and identity could not be confirmed reliably enough to estimate."
chateau lascombes|2005|750,Château Lascombes,2005,750,139,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau lascombes|2006|750,Château Lascombes,2006,750,147,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau leoville barton|1998|750,Château Leoville-Barton,1998,750,118,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau leoville barton|2015|750,Château Leoville-Barton,2015,750,106,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau leoville barton|2019|750,Château Leoville-Barton,2019,750,148,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau leoville las cases|1979|750,Château Leoville-Las-Cases,1979,750,180,Estimate based on producer/appellation/vintage reputation,estimate,"Single search returned tasting notes only, no price figure. Estimated from Las-Cases' status as a top-tier 2nd growth St-Julien and 1979 being a well-regarded vintage for the property; older-vintage secondary-market prices for this producer commonly run $150-250."
chateau les grandes murailles|2018|750,Château Les Grandes-Murailles,2018,750,40,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau lynch bages|2021|750,Château Lynch-Bages,2021,750,75,Estimate based on producer/appellation/vintage reputation,estimate,"Single search surfaced Wine-Searcher/merchant listings but no explicit price figure. Estimated from Lynch-Bages' typical recent-vintage retail range (~$70-90) and 2021 being a lighter, lower-priced vintage."
chateau meyney|2018|750,Château Meyney,2018,750,51,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau mongravey|2020|750,Château Mongravey,2020,750,55,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau mongravey|2021|750,Château Mongravey,2021,750,43,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau mongravey|2022|750,Château Mongravey,2022,750,46,Estimate based on same-producer adjacent-vintage Wine-Searcher averages,estimate,Single search returned no explicit price for the 2022 vintage. Estimated by interpolating between this same batch's WS-confirmed 2020 ($55) and 2021 ($43) averages for Château Mongravey.
chateau montviel|1994|750,Château Montviel,1994,750,35,Estimate based on producer/appellation/vintage reputation,estimate,"Single search found only a 79/100 score, no price. Estimated from typical secondary-market pricing for a lesser-known Pomerol producer in an average vintage."
chateau nairac|1975|750,Château Nairac,1975,750,70,Estimate based on producer/appellation/vintage reputation,estimate,Wine-Searcher explicitly showed no rating and no price listings for this vintage. Estimated from typical secondary-market pricing for classified Barsac/Sauternes from the mid-1970s in drinkable condition.
chateau pavie macquin|2000|750,Château Pavie-Macquin,2000,750,213,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau pey la tour|2022|750,Château Pey La Tour,2022,750,31,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau poujeaux|2010|750,Château Poujeaux,2010,750,53,"Wine-Searcher average retail (ex-tax), vintage-specific",ws_vintage,
chateau simone graves blanc|2019|750,Chateau Simone Graves Blanc,2019,750,,Insufficient data,insufficient,"Search results were split between two unrelated producers (Chateau Simon of Graves/Barsac-Sauternes vs. Chateau Simone of Palette, Provence); no reliable vintage-specific or all-vintage Wine-Searcher price surfaced for either under this exact name, and no retailer listing gave a usable price."
chateau siran|1983|750,Château Siran,1983,750,84,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau sociando mallet|1989|750,Château Sociando-Mallet,1989,750,,Insufficient data,insufficient,Search confirmed the 1989 vintage exists in Wine-Searcher's vintage list (and is noted as a strong year for the estate) but no price figure appeared in the snippet text.
chateau soleil|2012|750,Chateau Soleil,2012,750,,Insufficient data,insufficient,Search returned tasting notes and blend details for the 2012 vintage but no price figure from Wine-Searcher or a retailer.
chateau suduiraut|1996|750,Château Suduiraut,1996,750,,Insufficient data,insufficient,Only a critic score (90/100) surfaced for the 1996 vintage; no Wine-Searcher price or retailer listing was found in the snippet text.
chateau suduiraut|2017|375,Château Suduiraut,2017,375,50,"Wine-Searcher average retail, vintage-specific (scaled from 750ml)",ws_vintage,Wine-Searcher shows $100 for the 750ml 2017 vintage; scaled proportionally by volume to 375ml (100 x 0.5 = $50).
chateau thivin brouilly reverdon|2020|750,Chateau Thivin Brouilly Reverdon,2020,750,25,"Wine-Searcher average retail, vintage-specific",ws_vintage,
chateau tournefeuille|2019|750,Château Tournefeuille,2019,750,39,"Wine-Searcher average retail, adjacent vintage (2020) used as proxy",ws_adjacent,"No price surfaced for the 2019 vintage itself in the search snippet (only critic ratings). Used the 2020 vintage Wine-Searcher average of $39/750ml (found via the same producer's adjacent-vintage search in this batch) as a proxy, since 2019 and 2020 are both strong, comparably priced Lalande-de-Pomerol vintages for this producer."
chateau tournefeuille|2020|750,Château Tournefeuille,2020,750,39,"Wine-Searcher average retail, vintage-specific",ws_vintage,
christian moreau chablis valmur|2007|750,Christian Moreau Chablis Valmur,2007,750,148,"Wine-Searcher average retail, all-vintage average (current pricing, not 2007-specific)",ws_allvintage,Search explicitly noted the $148/750ml figure reflects current pricing rather than the 2007 vintage specifically; no 2007-specific price was found.
claude manciat pouilly fuisse courtelong|2020|750,Claude Manciat Pouilly-Fuisse Courtelong,2020,750,29.99,"Single reputable retailer listing (CostcoWineBlog / H-E-B pricing), vintage-specific",ws_single_retailer,"No usable Wine-Searcher snippet price found; retailer prices for the 2020 vintage clustered around $27.99-$29.99, took the upper end of that cluster."
clerico barolo ciabot mentin ginestra|1998|750,Clerico Barolo Ciabot Mentin Ginestra,1998,750,,Insufficient data,insufficient,"Search returned strong critic scores (93 WA, 98 WS) and historical background but no price figure from Wine-Searcher or a retailer for the 1998 vintage."
clos des papes chateauneuf du pape|2008|1500,Clos des Papes Châteauneuf-du-Pape,2008,1500,250.8,"Wine-Searcher average retail, vintage-specific (scaled to magnum)",ws_vintage,Wine-Searcher shows $114/750ml for the 2008 vintage; scaled to 1500ml magnum using the 2.2x premium factor (114 x 2.2 = $250.80).
clos du moulin aux moines pommard clos orgelot|2018|750,Clos Du Moulin aux Moines Pommard Clos Orgelot,2018,750,98,"Wine-Searcher average retail, all-vintage average (vintage not specified in listing)",ws_allvintage,"The $98/750ml Wine-Searcher figure came from a general producer/wine page, not a vintage-specific URL; treated as an all-vintage average."
comando g la bruja sierra de gredos|2022|750,Comando G. La Bruja Sierra de Gredos,2022,750,43,"Wine-Searcher average retail, vintage-specific",ws_vintage,
cos d estournel|1970|750,Cos d'Estournel,1970,750,228,"Wine-Searcher average retail, vintage-specific",ws_vintage,
cos d estournel|2011|750,Cos d'Estournel,2011,750,211,"Wine-Searcher average retail, vintage-specific",ws_vintage,
cos d estournel|2014|750,Cos d'Estournel,2014,750,184,"Wine-Searcher average retail, vintage-specific",ws_vintage,
couvent des jacobins|1994|750,Couvent des Jacobins,1994,750,,Insufficient data,insufficient,Only a critic score (87/100) surfaced for the 1994 vintage; no Wine-Searcher price or retailer listing was found in the snippet text.
david moreau santenay beaurepaire blanc|2016|750,David Moreau Santenay Beaurepaire Blanc,2016,750,48,"Wine-Searcher average retail, vintage-specific",ws_vintage,Listed as a pre-arrival offering price at $48 ex-sales-tax.
delamotte blanc de blancs|NV|750,Delamotte Blanc de Blancs,NV,750,58,Estimate based on producer/style knowledge,estimate,Search snippet gave no explicit price figure (wine.com/CellarTracker/Wine-Searcher links returned but no price text); estimated from general market knowledge of Delamotte Blanc de Blancs NV US retail range (~$55-65).
demiere ansiot brut grand cru blanc de blancs|NV|750,Demière-Ansiot Brut Grand Cru Blanc de Blancs,NV,750,56,"Wine-Searcher average retail, NV",ws_vintage,Snippet reported two average figures ($52 and $61 per 750ml) from Wine-Searcher; used midpoint ~$56.
domaine bruno clavelier vosne romanee les beaux monts vieilles vignes|2009|750,Domaine Bruno Clavelier Vosne-Romanee Les Beaux Monts Vieilles Vignes,2009,750,190,Estimate based on producer/appellation/vintage,estimate,No explicit price in snippet (WineBid listing link present but no price text); estimated from premier cru Vosne-Romanee pricing norms for this respected biodynamic producer in the well-regarded 2009 vintage.
domaine chateau de la selve berty|2019|750,Domaine Chateau de la Selve Berty,2019,750,20,"Wine-Searcher listing, $20, 88/100 rating",ws_allvintage,Snippet gave a Wine-Searcher price of $20 without confirming it is specific to the 2019 vintage; treated as a general/all-vintage average.
domaine claude dugat bourgogne|2022|750,Domaine Claude Dugat Bourgogne,2022,750,37,"Wine-Searcher average retail, vintage-specific (2022), converted from EUR",ws_vintage,Snippet reported €33.25-€35.01 per bottle for the 2022; converted at ~1.08 USD/EUR to ~$37.
domaine de cristia chateauneuf du pape vieilles vignes|2019|750,Domaine De Cristia Châteauneuf-du-Pape Vieilles Vignes,2019,750,45,Estimate based on category/producer norms,estimate,"No explicit price in snippet, only critic scores (Wine Spectator 96, Jeb Dunnuck 97, Decanter 94); estimated from typical retail range for a highly-rated CdP Vieilles Vignes cuvee."
domaine de fa fleurie roche guillon|2016|750,Domaine de Fa Fleurie Roche Guillon,2016,750,35,Estimate based on category/producer norms,estimate,No explicit price found in snippet; estimated from typical retail range for single-vineyard cru Beaujolais from this producer.
domaine de terrebrune vin de pays du mont caume terre d ombre|2023|750,Domaine de Terrebrune Vin de Pays du Mont Caume Terre d'Ombre,2023,750,25,Single retailer/importer note citing 'mid-$20s' retail price (Kermit Lynch import description),ws_single_retailer,Snippet quoted a 'mid-$20 retail price' rather than a specific Wine-Searcher figure; used $25 as midpoint.
domaine denis pere et fils bourgogne aligote|2009|750,Domaine Denis Pere et Fils Bourgogne Aligoté,2009,750,18,Estimate based on category norms,estimate,No price data found for this specific bottling; estimated low value typical of an older basic Bourgogne Aligoté.
